Date,Close,High,Low,Open,Volume,ticker,sector,log_ret,obs_smoothed,z_vol,z_rsi,z_obv_roc,z_vix,z_dxy_ret
2024-09-30,37919.55078125,39126.359375,37797.91015625,39117.828125,190500000,^N225,Indices,-0.049142484045679176,0.001034543151805009,0.020584268161371246,0.5196673582405257,0.018692627767366465,,
2024-10-01,38651.96875,38718.12890625,38232.46875,38232.46875,132100000,^N225,Indices,0.019130880809781373,0.0037152401005881735,0.020986707689206036,0.5597286981837732,0.021263318824979338,,
2024-10-02,37808.76171875,38213.5390625,37651.0703125,38136.19921875,139600000,^N225,Indices,-0.02205684437304394,-0.0003250571201608973,0.021552653295697895,0.5072738365217071,0.0166457734968819,,
2024-10-03,38552.05859375,38856.75,38457.62109375,38459.12890625,126800000,^N225,Indices,0.019468631932294086,-0.0019286750524144108,0.022042179902067183,0.5475281571051196,0.014077511679523091,,
2024-10-04,38635.62109375,38735.2890625,38501.8203125,38594.73046875,121200000,^N225,Indices,0.0021651779917043167,-0.006086927536988671,0.01956794562024128,0.5519597282946254,0.007570251937984551,,
2024-10-07,39332.73828125,39560.78125,39195.9296875,39239.921875,128000000,^N225,Indices,0.017882530048958636,0.0073180752819388935,0.019631593211188465,0.588195407536004,0.057449760690956087,,
2024-10-08,38937.5390625,39117.08984375,38817.5390625,39021.12890625,120400000,^N225,Indices,-0.010098407482880876,0.0014722176234064428,0.01972333352304551,0.5605193068879704,0.017719662715385498,,
2024-10-09,39277.9609375,39456.28125,39115.62890625,39385.48828125,106800000,^N225,Indices,0.00870477142162716,0.007624540782340664,0.019658615045406818,0.5788997037531189,0.05656489979396895,,
2024-10-10,39380.890625,39616.58984375,39282.19140625,39575.80078125,103500000,^N225,Indices,0.002617117951892766,0.004254237986260398,0.019617869590094195,0.5845573275415787,0.051900942818660534,,
2024-10-11,39605.80078125,39668.9296875,39415.26171875,39636.87109375,110900000,^N225,Indices,0.005694902776685144,0.004960182943256564,0.019085048849076518,0.5972892742243455,0.04940794614413657,,
2024-10-15,39910.55078125,40257.33984375,39910.55078125,40047.1484375,129000000,^N225,Indices,0.007665127640329642,0.0029167024615307643,0.01791452933365055,0.6145276471975891,0.0486229875567612,,
2024-10-16,39180.30078125,39362.62890625,39062.8515625,39362.62890625,108100000,^N225,Indices,-0.01846663015318762,0.0012430579274694154,0.018465044518494324,0.5533978343452974,0.05134786263208446,,
2024-10-17,38911.19140625,39299.73828125,38911.19140625,39263.8203125,107200000,^N225,Indices,-0.00689218332841583,-0.0018763330225391825,0.01834293881515599,0.5323805888311144,0.01892394965431654,,
2024-10-18,38981.75,39186.640625,38893.51953125,39092.46875,95700000,^N225,Indices,0.0018116818231552452,-0.0020374202482866866,0.01834457683972145,0.5373419883668497,0.017504037714435317,,
2024-10-21,38954.6015625,39119.671875,38775.58984375,38960.19921875,99000000,^N225,Indices,-0.0006966823068771805,-0.003315737264999151,0.017883603411604866,0.5349899904456816,-0.012830058995360605,,
2024-10-22,38411.9609375,38995.03125,38200.8203125,38933.6015625,110400000,^N225,Indices,-0.014028011742253516,-0.007654365141515783,0.017974053468134292,0.48892407300820806,-0.04625594016252843,,
2024-10-23,38104.859375,38514.328125,37987.62109375,38397.28125,95400000,^N225,Indices,-0.008027077189695614,-0.0055664545488173815,0.018042782337859845,0.4645450493019874,-0.045156684988221896,,
2024-10-24,38143.2890625,38320.390625,37712.19140625,37804.51953125,108700000,^N225,Indices,0.0010080163660767332,-0.0039864146099188695,0.018036840409190714,0.4681190843465079,-0.014556420628361821,,
2024-10-25,37913.921875,38028.140625,37713.0,37954.78125,90700000,^N225,Indices,-0.006031456584008738,-0.0055550422913516655,0.016905290678007327,0.44886168980957597,-0.04101244101244106,,
2024-10-28,38605.53125,38740.171875,37757.94921875,37757.94921875,116600000,^N225,Indices,0.018077186404158372,-0.0018002685491445556,0.016568414926785294,0.5138091573681552,-0.01032782129387877,,
2024-10-29,38903.6796875,38903.6796875,38416.8515625,38524.30078125,97400000,^N225,Indices,0.007693276822786391,0.0025439891638634254,0.012302820407544136,0.5390284055348531,0.020136800518898434,,
2024-10-30,39277.390625,39417.87890625,39094.30078125,39102.890625,221800000,^N225,Indices,0.009560211502865085,0.006061446902375566,0.011745497558070023,0.5691929075198982,0.06785084178104728,,
2024-10-31,39081.25,39249.2109375,38832.2109375,39179.71875,144300000,^N225,Indices,-0.005006238829108204,0.004858595863338579,0.010557688455708383,0.548891554955128,0.02954287984228099,,
